perturbation_scan_id	batch_id	cmap_name	concentration (M)	duration (h)	cell	array	vehicle	rep;cell;cmap_name	rep;cell;cmap_name;array	rep;cell;cmap_name;array;batch_id	rep;cell;cmap_name;array;batch_id;concentration (M)
5202764005791175120104.B09	506	fluphenazine	1e-05	6	MCF7	HT_HG-U133A_EA	DMSO	1968	1361	2900	3183
5202764005789148112904.B03	513	fluphenazine	1e-05	6	MCF7	HT_HG-U133A_EA	DMSO	1968	1361	2259	4190
5202764005791175120104.G06	502	5211181	1.2e-05	6	MCF7	HT_HG-U133A_EA	DMSO	1791	3073	4708	5378
5202764005790181113004.G06	504	5211181	1.2e-05	6	MCF7	HT_HG-U133A_EA	DMSO	1791	3073	4894	4859
5202764005791175120104.C04	502	5230742	1.7e-05	6	MCF7	HT_HG-U133A_EA	DMSO	2868	2216	4737	1709
5202764005790181113004.C04	504	5230742	1.7e-05	6	MCF7	HT_HG-U133A_EA	DMSO	2868	2216	4937	4894
5202764005791175120104.E04	502	bucladesine	2e-06	6	MCF7	HT_HG-U133A_EA	DMSO	519	2271	2432	2641
5202764005790181113004.E04	504	bucladesine	2e-06	6	MCF7	HT_HG-U133A_EA	DMSO	519	2271	6155	3294
5202764005791175120104.A08	506	estradiol	1e-08	6	MCF7	HT_HG-U133A_EA	DMSO	999	44	5851	2027
5202764005791175120104.G07	506	estradiol	1e-07	6	MCF7	HT_HG-U133A_EA	DMSO	999	44	5851	5446
5202764005791175120104.B06	502	wortmannin	1e-06	6	MCF7	HT_HG-U133A_EA	DMSO	1108	548	5394	6124
5202764005790181113004.B06	504	wortmannin	1e-06	6	MCF7	HT_HG-U133A_EA	DMSO	1108	548	5596	2805
5202764005791175120104.E05	502	5279552	2.2e-05	6	MCF7	HT_HG-U133A_EA	DMSO	1458	2365	4838	3240
5202764005790181113004.E05	504	5279552	2.2e-05	6	MCF7	HT_HG-U133A_EA	DMSO	1458	2365	5063	16
5202764005790181113004.C10	505	trifluoperazine	1e-05	6	MCF7	HT_HG-U133A_EA	DMSO	314	2616	5896	1418
5202764005791175120104.D07	506	trifluoperazine	1e-05	6	MCF7	HT_HG-U133A_EA	DMSO	314	2616	4725	354
5202764005791175120104.G04	502	Y-27632	3e-06	6	MCF7	HT_HG-U133A_EA	DMSO	2959	116	2228	4583
5202764005790181113004.G04	504	Y-27632	3e-06	6	MCF7	HT_HG-U133A_EA	DMSO	2959	116	2468	4057
5202764005791175120104.F09	506	prochlorperazine	1e-05	6	MCF7	HT_HG-U133A_EA	DMSO	655	2278	2829	2677
5202764005789148112904.F03	513	prochlorperazine	1e-05	6	MCF7	HT_HG-U133A_EA	DMSO	655	2278	2185	198
5202764005791175120104.F07	506	alvespimycin	1e-07	6	MCF7	HT_HG-U133A_EA	DMSO	812	1341	4830	1888
